simcell_1,simcell_93,simcell_94,simcell_79,simcell_72,simcell_71,simcell_70,simcell_77,simcell_76,simcell_95,simcell_66,simcell_67,simcell_61,simcell_62,simcell_56,simcell_86,simcell_87,simcell_85,simcell_82,simcell_83,simcell_80,simcell_91,simcell_88,simcell_89	gray
simcell_59,simcell_58,simcell_57	mediumvioletred
simcell_64,simcell_65	firebrick
simcell_60	cyan
simcell_63	olivedrab
simcell_68,simcell_69	darkseagreen
simcell_84	skyblue
simcell_81	darkturquoise
simcell_78	goldenrod
simcell_73	mediumorchid
simcell_102,simcell_100,simcell_101	indigo
simcell_75	chartreuse
simcell_74	silver
simcell_52	yellow
simcell_55	turquoise
simcell_103	brown
simcell_97	springgreen
simcell_96	mediumblue
simcell_90	darkviolet
simcell_92	darkgreen
simcell_104	darkolivegreen
simcell_99	lightsalmon
simcell_98	orange
