simcell_95,simcell_94,simcell_96,simcell_91,simcell_90,simcell_92,simcell_102,simcell_89	gold
simcell_73,simcell_71,simcell_70,simcell_69,simcell_74	darkolivegreen
simcell_60,simcell_61,simcell_62,simcell_56,simcell_58,simcell_1	gray
simcell_65	mediumblue
simcell_66	yellow
simcell_67	skyblue
simcell_68	darkturquoise
simcell_97,simcell_98	mediumvioletred
simcell_84	brown
simcell_85	turquoise
simcell_64,simcell_63	chartreuse
simcell_72	goldenrod
simcell_53,simcell_54	firebrick
simcell_77	darkseagreen
simcell_76	indianred
simcell_75	lightsalmon
simcell_55	springgreen
simcell_99,simcell_100	mediumorchid
simcell_57	orange
simcell_59	silver
simcell_93	cyan
simcell_86,simcell_87,simcell_79,simcell_78,simcell_82,simcell_83,simcell_80,simcell_81,simcell_88	indigo
simcell_101	olivedrab
